Date,Open,High,Low,Close,Adj Close,Volume
25-12-1995,72.819626,72.819626,72.819626,72.819626,53.472767,0
26-12-1995,72.819626,72.819626,72.819626,72.819626,53.472767,0
27-12-1995,72.819626,72.819626,72.819626,72.819626,53.472767,0
28-12-1995,72.819626,72.819626,72.819626,72.819626,53.472767,0
29-12-1995,72.819626,72.819626,72.819626,72.819626,53.472767,0
01-01-1996,72.436363,72.819626,72.340553,72.819626,53.472767,40703
02-01-1996,72.819626,73.566986,72.053108,72.398041,53.1632,100975
03-01-1996,72.398041,72.819626,72.101013,72.158501,52.987301,29744
04-01-1996,72.158501,72.244736,71.190765,71.61235,52.586254,104889
05-01-1996,71.61235,71.823151,71.094955,71.353653,52.396278,62620
08-01-1996,71.353653,71.47821,70.711693,71.382401,52.417408,131503
09-01-1996,71.382401,71.286583,69.75354,70.19429,51.544945,63142
10-01-1996,70.19429,71.47821,70.520058,71.324905,52.375183,67577
11-01-1996,71.324905,72.484276,70.999138,71.928543,52.818428,80623
12-01-1996,71.928543,73.289124,71.861473,72.800461,53.45871,54532
15-01-1996,72.800461,77.418762,71.890221,72.378876,53.14912,28961
16-01-1996,72.378876,72.627998,71.698586,72.215988,53.029518,106715
17-01-1996,72.215988,72.388458,71.861473,71.890221,52.790295,61837
18-01-1996,71.890221,72.244736,70.520058,72.072266,52.923965,73318
19-01-1996,72.072266,72.436363,71.47821,72.196831,53.015442,81145
22-01-1996,72.196831,73.011261,72.053108,72.829208,53.479805,450084
23-01-1996,72.829208,72.819626,70.807503,70.912903,52.072636,36789
24-01-1996,70.912903,70.90332,68.028862,68.757057,50.489563,99931
25-01-1996,68.757057,69.945168,68.43129,69.03492,50.693588,84015
26-01-1996,69.03492,69.03492,69.03492,69.03492,50.693588,0
29-01-1996,69.03492,69.945168,68.987015,69.351112,50.925785,51661
30-01-1996,69.351112,70.136803,68.795387,69.188225,50.806171,85320
31-01-1996,69.188225,70.615875,69.561905,70.472153,51.748985,37050
01-02-1996,70.472153,72.484276,69.983498,72.474693,53.219494,375201
02-02-1996,72.474693,76.077347,72.053108,75.770737,55.639832,462086
05-02-1996,75.770737,77.61039,74.113136,76.173164,55.935345,257526
06-02-1996,76.173164,77.0355,73.777779,74.582626,54.767376,378592
07-02-1996,74.582626,76.077347,73.202888,75.713249,55.597603,76710
08-02-1996,76.652237,82.171204,76.268974,81.749611,60.030235,370504
09-02-1996,81.749611,85.27562,81.443001,84.700722,62.197281,323800
12-02-1996,76.652237,84.509094,76.652237,82.247856,60.396103,125240
13-02-1996,82.247856,84.116249,80.676483,81.902916,60.142811,150810
14-02-1996,81.902916,84.700722,82.401154,82.420319,60.522743,162552
15-02-1996,82.420319,82.784416,80.494431,82.247856,60.396103,51400
16-02-1996,82.247856,81.433426,79.526695,80.05368,58.784878,50879
19-02-1996,80.05368,81.423843,77.61039,78.606873,57.72245,54010
20-02-1996,78.606873,79.335068,77.370857,78.855988,57.905388,215779
21-02-1996,78.855988,78.855988,78.855988,78.855988,57.905388,0
22-02-1996,78.855988,81.443001,79.14344,80.973511,59.460323,80884
23-02-1996,80.973511,83.167679,80.293221,82.793999,60.797131,229347
26-02-1996,82.793999,83.359306,78.693108,79.028458,58.032036,167509
27-02-1996,79.028458,82.401154,80.302803,81.586723,59.910603,232217
28-02-1996,81.586723,81.720871,80.676483,81.366348,59.748779,121849
29-02-1996,81.366348,82.017899,80.484848,80.983093,59.467361,441996
01-03-1996,80.983093,81.443001,80.925606,81.213043,59.636204,98366
04-03-1996,81.213043,82.295761,80.868111,81.826263,60.08651,110890
05-03-1996,81.826263,81.826263,81.826263,81.826263,60.08651,0
06-03-1996,81.826263,82.017899,81.347191,81.395096,59.769905,32353
07-03-1996,81.395096,81.922081,80.484848,81.059746,59.523651,45399
08-03-1996,81.059746,81.059746,80.12075,80.877693,59.389977,104367
11-03-1996,80.877693,79.81414,78.587708,78.951805,57.975739,78536
12-03-1996,78.951805,80.484848,78.443985,79.842888,58.630074,76188
13-03-1996,79.842888,81.059746,79.191345,80.801041,59.333675,81406
14-03-1996,80.801041,81.730453,79.890793,80.168663,58.869301,85320
15-03-1996,80.168663,80.245316,79.766235,79.967445,58.721554,113760
18-03-1996,79.967445,80.369873,79.526695,80.360291,59.010025,224129
19-03-1996,80.360291,79.909958,79.153023,79.593765,58.447159,113238
20-03-1996,79.593765,79.593765,79.593765,79.593765,58.447159,0
21-03-1996,79.593765,80.887276,79.95787,80.868111,59.382938,132546
22-03-1996,80.868111,81.059746,80.484848,80.887276,59.397007,127067
25-03-1996,80.887276,82.401154,80.475273,81.720871,60.009129,213953
26-03-1996,81.720871,82.113708,80.963928,81.864594,60.114662,137765
27-03-1996,81.864594,89.683121,82.401154,84.039597,61.711807,206647
28-03-1996,84.039597,90.056801,84.183319,86.885315,63.801464,980271
29-03-1996,86.885315,89.108231,84.317467,86.243355,63.33007,541406
01-04-1996,86.243355,87.958443,84.317467,87.182343,64.019585,353022
02-04-1996,87.182343,88.130913,84.317467,85.61097,62.865681,307884
03-04-1996,85.61097,87.00029,85.467247,85.553482,62.823475,46704
04-04-1996,89.041161,89.041161,83.934204,84.556999,62.091755,48791
05-04-1996,84.556999,84.556999,84.556999,84.556999,62.091755,0
08-04-1996,84.556999,86.22419,84.518677,84.911514,62.352062,48009
09-04-1996,84.911514,86.18586,83.455124,83.742569,61.493683,73318
10-04-1996,83.742569,85.658875,84.317467,85.189384,62.55611,350413
11-04-1996,85.189384,85.467247,84.892357,85.313942,62.647587,151332
12-04-1996,89.041161,89.041161,84.509094,85.208542,62.570179,50096
15-04-1996,85.208542,88.130913,85.658875,87.74765,64.434692,584718
16-04-1996,87.74765,89.874748,88.006355,89.175301,65.48304,192036
17-04-1996,89.175301,93.515732,89.874748,93.142052,68.395889,795541
18-04-1996,93.142052,95.412872,92.365952,92.730049,68.093346,428428
19-04-1996,93.314522,94.282257,92.557579,92.768372,68.121506,162291
22-04-1996,92.768372,94.282257,91.216164,92.164734,67.678246,198037
23-04-1996,92.164734,93.898994,90.928719,92.701302,68.072235,271355
